,fdr,tpr,fpr,shd,false_pos,false_neg,reserved_edges,pred_size,true_size,timing,causal_mech,dataset,dataset_name,dataset_index,algo
0,0.2,0.125,0.07692307692307693,28,0,27,1,5,32,2.4792802333831787,mix_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,gran_dag
0,0.375,0.3125,0.46153846153846156,27,5,21,1,16,32,3662.6527814865112,mix_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,dag_gnn
0,0.8695652173913043,0.09375,1.5384615384615385,38,7,19,13,23,32,7069.57773399353,mix_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,rl_bic
0,0.37037037037037035,0.53125,0.7692307692307693,19,4,9,6,27,32,3325.34415602684,mix_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,sam
0,0.2857142857142857,0.17857142857142858,0.11764705882352941,24,1,22,1,7,28,2.4968204498291016,mix_mechanism,medium_all_3,medium_all,3,gran_dag
0,1.0,0.0,0.47058823529411764,31,3,23,5,8,28,3680.6011016368866,mix_mechanism,medium_all_3,medium_all,3,dag_gnn
0,0.8181818181818182,0.07142857142857142,0.5294117647058824,31,5,23,4,11,28,7053.183497667313,mix_mechanism,medium_all_3,medium_all,3,rl_bic
0,0.56,0.39285714285714285,0.8235294117647058,25,9,12,5,25,28,3635.347271680832,mix_mechanism,medium_all_3,medium_all,3,sam
0,0.375,0.1724137931034483,0.1875,25,1,22,2,8,29,2.446275472640991,mix_mechanism,medium_all_2,medium_all,2,gran_dag
0,0.3333333333333333,0.06896551724137931,0.0625,28,1,27,0,3,29,4100.530586481094,mix_mechanism,medium_all_2,medium_all,2,dag_gnn
0,0.3333333333333333,0.06896551724137931,0.0625,28,1,27,0,3,29,7097.069031715393,mix_mechanism,medium_all_2,medium_all,2,rl_bic
0,0.3333333333333333,0.4827586206896552,0.4375,19,5,13,2,21,29,6671.971086978912,mix_mechanism,medium_all_2,medium_all,2,sam
0,0.42857142857142855,0.13333333333333333,0.2,27,1,24,2,7,30,2.4480929374694824,mix_mechanism,medium_all_1,medium_all,1,gran_dag
0,0.5,0.03333333333333333,0.06666666666666667,30,1,29,0,2,30,3879.2396216392517,mix_mechanism,medium_all_1,medium_all,1,dag_gnn
0,0.8571428571428571,0.03333333333333333,0.4,32,3,26,3,7,30,7036.396722793579,mix_mechanism,medium_all_1,medium_all,1,rl_bic
0,0.4,0.3,0.4,25,5,20,1,15,30,3341.9331197738647,mix_mechanism,medium_all_1,medium_all,1,sam
0,0.375,0.1388888888888889,0.3333333333333333,33,2,30,1,8,36,2.45676589012146,mix_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,gran_dag
0,0.8,0.027777777777777776,0.4444444444444444,36,1,32,3,5,36,4431.831665992737,mix_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,dag_gnn
