,fdr,tpr,fpr,shd,false_pos,false_neg,reserved_edges,pred_size,true_size,timing,causal_mech,dataset,dataset_name,dataset_index,algo
0,0.4,0.12,0.6666666666666666,22,0,20,2,5,25,2.613931894302368,linear_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,gran_dag
0,0.0,0.0,0.0,25,0,25,0,0,25,5062.391522169113,linear_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,dag_gnn
0,0.0,0.0,0.0,25,0,25,0,0,25,1693.5779778957367,linear_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,rl_bic
0,0.0,0.2,0.0,20,0,20,0,5,25,2881.0083405971527,linear_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,sam
0,0.42857142857142855,0.18181818181818182,0.5,19,1,16,2,7,22,2.5342648029327393,linear_mechanism,medium_unfaithful_3,medium_unfaithful,3,gran_dag
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,5130.858397483826,linear_mechanism,medium_unfaithful_3,medium_unfaithful,3,dag_gnn
0,1.0,0.0,0.3333333333333333,23,2,22,0,2,22,1682.5107424259186,linear_mechanism,medium_unfaithful_3,medium_unfaithful,3,rl_bic
0,0.6666666666666666,0.045454545454545456,0.3333333333333333,22,2,21,0,3,22,2855.5901148319244,linear_mechanism,medium_unfaithful_3,medium_unfaithful,3,sam
0,0.16666666666666666,0.4,0.6666666666666666,15,0,13,2,12,25,2.8611996173858643,linear_mechanism,medium_selection_bias_3,medium_selection_bias,3,gran_dag
0,0.0,0.0,0.0,25,0,25,0,0,25,4221.380700588226,linear_mechanism,medium_selection_bias_3,medium_selection_bias,3,dag_gnn
0,0.0,0.0,0.0,25,0,25,0,0,25,1811.9523632526398,linear_mechanism,medium_selection_bias_3,medium_selection_bias,3,rl_bic
0,0.3333333333333333,0.08,0.3333333333333333,24,1,23,0,3,25,2841.170075893402,linear_mechanism,medium_selection_bias_3,medium_selection_bias,3,sam
0,0.42857142857142855,0.2,0.375,17,1,14,2,7,20,2.4231231212615967,linear_mechanism,medium_all_3,medium_all,3,gran_dag
0,1.0,0.0,0.125,21,1,20,0,1,20,3646.2615673542023,linear_mechanism,medium_all_3,medium_all,3,dag_gnn
0,1.0,0.0,0.5,23,4,20,0,4,20,1497.5651795864105,linear_mechanism,medium_all_3,medium_all,3,rl_bic
0,0.5,0.1,0.25,20,2,18,0,4,20,2873.648262500763,linear_mechanism,medium_all_3,medium_all,3,sam
0,0.36363636363636365,0.4117647058823529,0.36363636363636365,14,4,10,0,11,17,2.455160140991211,linear_mechanism,medium_all_2,medium_all,2,gran_dag
0,1.0,0.0,0.2727272727272727,20,3,17,0,3,17,4741.734916210175,linear_mechanism,medium_all_2,medium_all,2,dag_gnn
0,1.0,0.0,1.9090909090909092,27,13,9,8,21,17,1517.7189333438873,linear_mechanism,medium_all_2,medium_all,2,rl_bic
0,0.46153846153846156,0.4117647058823529,0.5454545454545454,16,6,10,0,13,17,2870.5346417427063,linear_mechanism,medium_all_2,medium_all,2,sam
0,1.0,0.0,0.3333333333333333,23,1,21,1,2,22,2.339928150177002,linear_mechanism,medium_unfaithful_1,medium_unfaithful,1,gran_dag
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,3583.848740339279,linear_mechanism,medium_unfaithful_1,medium_unfaithful,1,dag_gnn
0,1.0,0.0,1.6666666666666667,26,5,17,5,10,22,1696.0392315387726,linear_mechanism,medium_unfaithful_1,medium_unfaithful,1,rl_bic
0,0.8,0.045454545454545456,0.6666666666666666,24,4,21,0,5,22,2867.401589155197,linear_mechanism,medium_unfaithful_1,medium_unfaithful,1,sam
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,2.419004440307617,linear_mechanism,medium_all_1,medium_all,1,gran_dag
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,3282.0049164295197,linear_mechanism,medium_all_1,medium_all,1,dag_gnn
0,1.0,0.0,0.3333333333333333,23,2,22,0,2,22,1517.5757141113281,linear_mechanism,medium_all_1,medium_all,1,rl_bic
0,0.6363636363636364,0.18181818181818182,1.1666666666666667,22,5,16,2,11,22,2889.031307697296,linear_mechanism,medium_all_1,medium_all,1,sam
0,0.5555555555555556,0.14814814814814814,5.0,23,0,18,5,9,27,2.463815212249756,linear_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,gran_dag
0,0.0,0.0,0.0,27,0,27,0,0,27,2855.7740807533264,linear_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,dag_gnn
0,0.0,0.0,0.0,27,0,27,0,0,27,1508.123234987259,linear_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,rl_bic
0,0.0,0.2222222222222222,0.0,21,0,21,0,6,27,2842.1594541072845,linear_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,sam
0,0.5,0.13043478260869565,0.6,22,2,19,1,6,23,2.655219554901123,linear_mechanism,medium_confounder_1,medium_confounder,1,gran_dag
0,0.0,0.0,0.0,23,0,23,0,0,23,4641.2161729335785,linear_mechanism,medium_confounder_1,medium_confounder,1,dag_gnn
0,0.0,0.0,0.0,23,0,23,0,0,23,1730.328724861145,linear_mechanism,medium_confounder_1,medium_confounder,1,rl_bic
0,0.14285714285714285,0.2608695652173913,0.2,18,1,17,0,7,23,2866.6473803520203,linear_mechanism,medium_confounder_1,medium_confounder,1,sam
0,0.4444444444444444,0.22727272727272727,0.6666666666666666,19,2,15,2,9,22,2.6310911178588867,linear_mechanism,medium_confounder_2,medium_confounder,2,gran_dag
0,0.0,0.0,0.0,22,0,22,0,0,22,6160.835207223892,linear_mechanism,medium_confounder_2,medium_confounder,2,dag_gnn
0,0.0,0.0,0.0,22,0,22,0,0,22,1807.410804271698,linear_mechanism,medium_confounder_2,medium_confounder,2,rl_bic
0,0.5,0.045454545454545456,0.16666666666666666,22,1,21,0,2,22,5440.419600009918,linear_mechanism,medium_confounder_2,medium_confounder,2,sam
0,0.5625,0.25925925925925924,9.0,20,0,11,9,16,27,2.667717933654785,linear_mechanism,medium_selection_bias_1,medium_selection_bias,1,gran_dag
0,0.0,0.0,0.0,27,0,27,0,0,27,5263.311156272888,linear_mechanism,medium_selection_bias_1,medium_selection_bias,1,dag_gnn
0,0.0,0.0,0.0,27,0,27,0,0,27,1818.776825428009,linear_mechanism,medium_selection_bias_1,medium_selection_bias,1,rl_bic
0,0.0,0.1111111111111111,0.0,24,0,24,0,3,27,5374.365387201309,linear_mechanism,medium_selection_bias_1,medium_selection_bias,1,sam
0,0.5,0.14814814814814814,4.0,23,0,19,4,8,27,2.4385569095611572,linear_mechanism,medium_no_issue_noise_1,medium_no_issue_noise,1,gran_dag
0,0.0,0.0,0.0,27,0,27,0,0,27,3312.1258206367493,linear_mechanism,medium_no_issue_noise_1,medium_no_issue_noise,1,dag_gnn
0,0.0,0.0,0.0,27,0,27,0,0,27,1504.256457567215,linear_mechanism,medium_no_issue_noise_1,medium_no_issue_noise,1,rl_bic
0,0.0,0.2222222222222222,0.0,21,0,21,0,6,27,2868.3403215408325,linear_mechanism,medium_no_issue_noise_1,medium_no_issue_noise,1,sam
0,0.5714285714285714,0.2727272727272727,1.3333333333333333,19,3,11,5,14,22,2.437596082687378,linear_mechanism,medium_no_issue_no_noise_2,medium_no_issue_no_noise,2,gran_dag
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,4470.297902584076,linear_mechanism,medium_no_issue_no_noise_2,medium_no_issue_no_noise,2,dag_gnn
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,1512.025640964508,linear_mechanism,medium_no_issue_no_noise_2,medium_no_issue_no_noise,2,rl_bic
0,0.25,0.13636363636363635,0.16666666666666666,20,1,19,0,4,22,2852.434286594391,linear_mechanism,medium_no_issue_no_noise_2,medium_no_issue_no_noise,2,sam
0,0.5454545454545454,0.25,0.75,18,3,12,3,11,20,2.3710227012634277,linear_mechanism,medium_confounder_3,medium_confounder,3,gran_dag
0,0.0,0.0,0.0,20,0,20,0,0,20,4151.1432938575745,linear_mechanism,medium_confounder_3,medium_confounder,3,dag_gnn
0,0.0,0.0,0.0,20,0,20,0,0,20,1551.7950522899628,linear_mechanism,medium_confounder_3,medium_confounder,3,rl_bic
0,0.3333333333333333,0.2,0.25,18,2,16,0,6,20,2872.816684484482,linear_mechanism,medium_confounder_3,medium_confounder,3,sam
0,0.25,0.4090909090909091,0.5,15,2,12,1,12,22,2.3663876056671143,linear_mechanism,medium_selection_bias_2,medium_selection_bias,2,gran_dag
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,5166.971426963806,linear_mechanism,medium_selection_bias_2,medium_selection_bias,2,dag_gnn
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,1631.1697447299957,linear_mechanism,medium_selection_bias_2,medium_selection_bias,2,rl_bic
0,0.5,0.045454545454545456,0.16666666666666666,22,1,21,0,2,22,2875.54461145401,linear_mechanism,medium_selection_bias_2,medium_selection_bias,2,sam
0,0.14285714285714285,0.2727272727272727,0.16666666666666666,17,1,16,0,7,22,2.817047595977783,linear_mechanism,medium_unfaithful_2,medium_unfaithful,2,gran_dag
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,3596.8275542259216,linear_mechanism,medium_unfaithful_2,medium_unfaithful,2,dag_gnn
0,1.0,0.0,0.3333333333333333,23,2,22,0,2,22,1816.328472852707,linear_mechanism,medium_unfaithful_2,medium_unfaithful,2,rl_bic
0,1.0,0.0,0.6666666666666666,25,4,22,0,4,22,2849.7784581184387,linear_mechanism,medium_unfaithful_2,medium_unfaithful,2,sam
0,0.375,0.2,1.0,20,0,17,3,8,25,2.4317479133605957,linear_mechanism,medium_no_issue_no_noise_3,medium_no_issue_no_noise,3,gran_dag
0,0.0,0.0,0.0,25,0,25,0,0,25,2658.179283618927,linear_mechanism,medium_no_issue_no_noise_3,medium_no_issue_no_noise,3,dag_gnn
0,0.0,0.0,0.0,25,0,25,0,0,25,1513.0127747058868,linear_mechanism,medium_no_issue_no_noise_3,medium_no_issue_no_noise,3,rl_bic
0,0.0,0.04,0.0,24,0,24,0,1,25,2872.484199523926,linear_mechanism,medium_no_issue_no_noise_3,medium_no_issue_no_noise,3,sam
0,0.6666666666666666,0.13636363636363635,1.0,21,2,15,4,9,22,2.4351251125335693,linear_mechanism,medium_no_issue_noise_2,medium_no_issue_noise,2,gran_dag
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,3262.8901340961456,linear_mechanism,medium_no_issue_noise_2,medium_no_issue_noise,2,dag_gnn
0,1.0,0.0,0.16666666666666666,23,1,22,0,1,22,1518.64444065094,linear_mechanism,medium_no_issue_noise_2,medium_no_issue_noise,2,rl_bic
0,0.3333333333333333,0.18181818181818182,0.3333333333333333,20,2,18,0,6,22,2865.9954130649567,linear_mechanism,medium_no_issue_noise_2,medium_no_issue_noise,2,sam
