,fdr,tpr,fpr,shd,false_pos,false_neg,reserved_edges,pred_size,true_size,timing,causal_mech,dataset,dataset_name,dataset_index,algo
0,0.8333333333333334,0.14285714285714285,0.23809523809523808,10,4,5,1,6,7,2.3055171966552734,linear_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,gran_dag
0,1.0,0.0,0.047619047619047616,8,1,7,0,1,7,2677.699426174164,linear_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,dag_gnn
0,0.7307692307692307,1.0,0.9047619047619048,19,19,0,0,26,7,23.03010869026184,linear_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,cam
0,0.7857142857142857,0.42857142857142855,0.5238095238095238,15,11,4,0,14,7,2.476886749267578,linear_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,notears
0,1.0,0.0,0.23809523809523808,10,5,7,0,5,7,1519.2267770767212,linear_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,rl_bic
0,1.0,0.0,0.23809523809523808,12,5,7,0,5,7,2838.0423419475555,linear_mechanism,medium_no_issue_noise_3,medium_no_issue_noise,3,sam
0,0.7692307692307693,0.375,0.5,15,10,5,0,13,8,2.3159685134887695,linear_mechanism,medium_unfaithful_3,medium_unfaithful,3,gran_dag
0,1.0,0.0,0.15,11,3,8,0,3,8,3588.6584911346436,linear_mechanism,medium_unfaithful_3,medium_unfaithful,3,dag_gnn
0,0.7,0.75,0.7,15,13,1,1,20,8,14.412570238113403,linear_mechanism,medium_unfaithful_3,medium_unfaithful,3,cam
0,0.9,0.125,0.45,15,8,6,1,10,8,1.4564094543457031,linear_mechanism,medium_unfaithful_3,medium_unfaithful,3,notears
0,1.0,0.0,0.15,10,3,8,0,3,8,1512.357048034668,linear_mechanism,medium_unfaithful_3,medium_unfaithful,3,rl_bic
0,0.8,0.5,0.8,20,16,4,0,20,8,2869.211228609085,linear_mechanism,medium_unfaithful_3,medium_unfaithful,3,sam
0,0.75,0.14285714285714285,0.14285714285714285,9,3,6,0,4,7,2.3125803470611572,linear_mechanism,medium_selection_bias_3,medium_selection_bias,3,gran_dag
0,1.0,0.0,0.19047619047619047,11,4,7,0,4,7,3257.2341866493225,linear_mechanism,medium_selection_bias_3,medium_selection_bias,3,dag_gnn
0,0.8,0.7142857142857143,0.9523809523809523,22,20,2,0,25,7,23.291171312332153,linear_mechanism,medium_selection_bias_3,medium_selection_bias,3,cam
0,0.8235294117647058,0.42857142857142855,0.6666666666666666,18,14,4,0,17,7,1.9391305446624756,linear_mechanism,medium_selection_bias_3,medium_selection_bias,3,notears
0,1.0,0.0,0.2857142857142857,11,6,7,0,6,7,1553.8678059577942,linear_mechanism,medium_selection_bias_3,medium_selection_bias,3,rl_bic
0,1.0,0.0,0.3333333333333333,14,7,7,0,7,7,2893.8912076950073,linear_mechanism,medium_selection_bias_3,medium_selection_bias,3,sam
0,1.0,0.0,0.21739130434782608,10,5,5,0,5,5,2.32275390625,linear_mechanism,medium_all_3,medium_all,3,gran_dag
0,1.0,0.0,0.21739130434782608,10,5,5,0,5,5,3242.1616439819336,linear_mechanism,medium_all_3,medium_all,3,dag_gnn
0,0.85,0.6,0.7391304347826086,19,17,2,0,20,5,15.028253078460693,linear_mechanism,medium_all_3,medium_all,3,cam
0,0.8333333333333334,0.6,0.6521739130434783,17,15,2,0,18,5,2.7460732460021973,linear_mechanism,medium_all_3,medium_all,3,notears
